[1] "Accepted theta[1]=9.01e-01, theta[2]=2.27e+00, theta[3]=1.28e+00"
[1] "Accepted theta[1]=8.44e-01, theta[2]=2.39e+00, theta[3]=1.31e+00"
[1] "Accepted theta[1]=7.83e-01, theta[2]=2.51e+00, theta[3]=1.30e+00"
[1] "Accepted theta[1]=7.48e-01, theta[2]=2.62e+00, theta[3]=1.27e+00"
[1] "Accepted theta[1]=7.27e-01, theta[2]=2.74e+00, theta[3]=1.23e+00"
[1] "Accepted theta[1]=7.03e-01, theta[2]=2.82e+00, theta[3]=1.18e+00"
[1] "Accepted theta[1]=6.96e-01, theta[2]=2.92e+00, theta[3]=1.13e+00"
[1] "Accepted theta[1]=7.02e-01, theta[2]=3.01e+00, theta[3]=1.08e+00"
[1] "Accepted theta[1]=6.94e-01, theta[2]=3.11e+00, theta[3]=1.04e+00"
[1] "Accepted theta[1]=7.08e-01, theta[2]=3.19e+00, theta[3]=9.84e-01"
[1] "Accepted theta[1]=7.00e-01, theta[2]=3.28e+00, theta[3]=9.14e-01"
[1] "Accepted theta[1]=7.12e-01, theta[2]=3.36e+00, theta[3]=8.81e-01"
[1] "Accepted theta[1]=6.94e-01, theta[2]=3.44e+00, theta[3]=8.48e-01"
[1] "Accepted theta[1]=6.78e-01, theta[2]=3.50e+00, theta[3]=8.30e-01"
[1] "Accepted theta[1]=6.76e-01, theta[2]=3.57e+00, theta[3]=8.23e-01"
[1] "Accepted theta[1]=6.44e-01, theta[2]=3.63e+00, theta[3]=8.23e-01"
[1] "Accepted theta[1]=6.44e-01, theta[2]=3.68e+00, theta[3]=8.24e-01"
[1] "Accepted theta[1]=6.35e-01, theta[2]=3.71e+00, theta[3]=8.13e-01"
[1] "Accepted theta[1]=6.18e-01, theta[2]=3.73e+00, theta[3]=8.03e-01"
[1] "Accepted theta[1]=6.02e-01, theta[2]=3.75e+00, theta[3]=7.83e-01"
[1] "Accepted theta[1]=5.97e-01, theta[2]=3.75e+00, theta[3]=7.82e-01"
[1] "Accepted theta[1]=5.92e-01, theta[2]=3.77e+00, theta[3]=7.84e-01"
[1] "Accepted theta[1]=5.89e-01, theta[2]=3.79e+00, theta[3]=7.68e-01"
[1] "Accepted theta[1]=5.79e-01, theta[2]=3.81e+00, theta[3]=7.56e-01"
[1] "Accepted theta[1]=5.83e-01, theta[2]=3.84e+00, theta[3]=7.62e-01"
[1] "Accepted theta[1]=5.54e-01, theta[2]=3.84e+00, theta[3]=7.64e-01"
[1] "Accepted theta[1]=5.48e-01, theta[2]=3.85e+00, theta[3]=7.52e-01"
[1] "Accepted theta[1]=5.33e-01, theta[2]=3.86e+00, theta[3]=7.64e-01"
[1] "Accepted theta[1]=5.39e-01, theta[2]=3.89e+00, theta[3]=7.57e-01"
[1] "Rejected theta[1]=5.40e-01, theta[2]=3.88e+00, theta[3]=7.78e-01"
[1] "Rejected theta[1]=5.46e-01, theta[2]=3.88e+00, theta[3]=7.86e-01"
[1] "Accepted theta[1]=5.31e-01, theta[2]=3.88e+00, theta[3]=7.49e-01"
[1] "Accepted theta[1]=5.22e-01, theta[2]=3.87e+00, theta[3]=7.46e-01"
[1] "Accepted theta[1]=5.15e-01, theta[2]=3.88e+00, theta[3]=7.57e-01"
[1] "Accepted theta[1]=5.18e-01, theta[2]=3.89e+00, theta[3]=7.46e-01"
[1] "Accepted theta[1]=4.92e-01, theta[2]=3.90e+00, theta[3]=7.53e-01"
[1] "Accepted theta[1]=4.99e-01, theta[2]=3.92e+00, theta[3]=7.47e-01"
[1] "Accepted theta[1]=4.96e-01, theta[2]=3.93e+00, theta[3]=7.36e-01"
[1] "Accepted theta[1]=4.86e-01, theta[2]=3.95e+00, theta[3]=7.34e-01"
[1] "Accepted theta[1]=4.81e-01, theta[2]=3.95e+00, theta[3]=7.24e-01"
[1] "Accepted theta[1]=4.64e-01, theta[2]=3.95e+00, theta[3]=7.15e-01"
[1] "Accepted theta[1]=4.65e-01, theta[2]=3.96e+00, theta[3]=7.12e-01"
[1] "Rejected theta[1]=4.51e-01, theta[2]=3.96e+00, theta[3]=7.32e-01"
[1] "Rejected theta[1]=4.58e-01, theta[2]=3.96e+00, theta[3]=7.30e-01"
[1] "Accepted theta[1]=4.51e-01, theta[2]=3.95e+00, theta[3]=7.05e-01"
[1] "Accepted theta[1]=4.39e-01, theta[2]=3.95e+00, theta[3]=7.06e-01"
[1] "Accepted theta[1]=4.22e-01, theta[2]=3.93e+00, theta[3]=6.73e-01"
[1] "Accepted theta[1]=3.99e-01, theta[2]=3.96e+00, theta[3]=6.71e-01"
[1] "Accepted theta[1]=4.01e-01, theta[2]=3.97e+00, theta[3]=6.74e-01"
[1] "Rejected theta[1]=4.12e-01, theta[2]=3.97e+00, theta[3]=6.70e-01"
[1] "Accepted theta[1]=3.83e-01, theta[2]=3.98e+00, theta[3]=6.66e-01"
[1] "Accepted theta[1]=3.84e-01, theta[2]=3.97e+00, theta[3]=6.56e-01"
[1] "Rejected theta[1]=3.74e-01, theta[2]=3.98e+00, theta[3]=6.70e-01"
[1] "Accepted theta[1]=3.56e-01, theta[2]=3.98e+00, theta[3]=6.42e-01"
[1] "Accepted theta[1]=3.49e-01, theta[2]=3.99e+00, theta[3]=6.43e-01"
[1] "Accepted theta[1]=3.46e-01, theta[2]=3.97e+00, theta[3]=6.23e-01"
[1] "Accepted theta[1]=3.33e-01, theta[2]=3.98e+00, theta[3]=6.32e-01"
[1] "Accepted theta[1]=3.18e-01, theta[2]=3.98e+00, theta[3]=6.27e-01"
[1] "Accepted theta[1]=3.30e-01, theta[2]=3.97e+00, theta[3]=6.04e-01"
[1] "Rejected theta[1]=3.40e-01, theta[2]=3.98e+00, theta[3]=6.25e-01"
[1] "Rejected theta[1]=3.21e-01, theta[2]=3.96e+00, theta[3]=6.22e-01"
[1] "Rejected theta[1]=3.19e-01, theta[2]=3.97e+00, theta[3]=6.25e-01"
[1] "Rejected theta[1]=3.15e-01, theta[2]=3.97e+00, theta[3]=6.26e-01"
[1] "Accepted theta[1]=3.01e-01, theta[2]=3.96e+00, theta[3]=6.07e-01"
[1] "Accepted theta[1]=2.92e-01, theta[2]=3.97e+00, theta[3]=5.89e-01"
[1] "Accepted theta[1]=2.77e-01, theta[2]=3.98e+00, theta[3]=5.75e-01"
[1] "Rejected theta[1]=2.88e-01, theta[2]=3.98e+00, theta[3]=5.86e-01"
[1] "Accepted theta[1]=2.89e-01, theta[2]=3.97e+00, theta[3]=5.84e-01"
[1] "Rejected theta[1]=2.88e-01, theta[2]=3.97e+00, theta[3]=5.87e-01"
[1] "Rejected theta[1]=3.06e-01, theta[2]=3.98e+00, theta[3]=5.80e-01"
[1] "Accepted theta[1]=2.91e-01, theta[2]=3.97e+00, theta[3]=5.78e-01"
[1] "Accepted theta[1]=2.83e-01, theta[2]=3.98e+00, theta[3]=5.71e-01"
[1] "Rejected theta[1]=2.75e-01, theta[2]=4.00e+00, theta[3]=5.90e-01"
[1] "Rejected theta[1]=2.57e-01, theta[2]=3.97e+00, theta[3]=5.70e-01"
[1] "Rejected theta[1]=2.64e-01, theta[2]=3.98e+00, theta[3]=5.74e-01"
[1] "Rejected theta[1]=2.64e-01, theta[2]=3.97e+00, theta[3]=5.66e-01"
[1] "Accepted theta[1]=2.83e-01, theta[2]=3.99e+00, theta[3]=5.75e-01"
